CRP,Activity Code,ST Number,OP Number,Description,Status,Contact Name,Organization of Contact,Contact Address,Commodity,Target Technology(ies),Contact Email Address,Contact Phone Number,Activity Budget,Reporting Organization,Reporting Organization Type,Website,Location Type,AES,Agro-ecological zone (AEZ),SLO,Activity location type,Theme,Activity Start Date,Activity End Date,Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s),Partner Organization(s)
3.6,1.1.1,,1.1,,,,,,barley,Education technology|Information and communication technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Databases & Information systems,,,,,,,,,,,,,,,,,,,,,
3.6,1.1.2,,1.1,,,,,,barley,Econonmic and policy technology|Education technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Marketing & Commodities,,,,,,,,,,,,,,,,,,,,,
3.6,1.1.3,,1.1,,,,,,barley,Education technology|Information and communication technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Databases & Information systems,,,,,,,,,,,,,,,,,,,,,
3.6,1.1.4,,1.1,,,,,,barley,Econonmic and policy technology|Education technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Monitoring and Evaluation,,,,,,,,,,,,,,,,,,,,,
3.6,1.2.1,,1.2,,,,,,finger millet,Education technology|Information and communication technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Monitoring and Evaluation,,,,,,,,,,,,,,,,,,,,,
3.6,1.2.2,,1.2,,,,,,finger millet,Economic and policy technology|Seed technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Marketing & Commodities,,,,,,,,,,,,,,,,,,,,,
3.6,1.3.1,,1.3,,,,,,barley,Economic and policy technology|Education technology|Information and communication technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Databases & Information systems,,,,,,,,,,,,,,,,,,,,,
3.6,1.3.2,,1.3,,,,,,barley,Education policy|Conservation agriculture technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Marketing & Commodities,,,,,,,,,,,,,,,,,,,,,
3.6,1.3.3,,1.3,,,,,,barley,Econonmic and policy technology|Education technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Extension,,,,,,,,,,,,,,,,,,,,,
3.6,2.1.1,,2.1,,,,,,barley,Education technology|Information and communication technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Databases & Information systems,,,,,,,,,,,,,,,,,,,,,
3.6,2.1.2,,2.1,,,,,,barley,Education technology|Information and communication technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Databases & Information systems,,,,,,,,,,,,,,,,,,,,,
3.6,2.1.3,,2.1,,,,,,finger millet,Plant breeding technology|Information and communication technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Databases & Information systems,,,,,,,,,,,,,,,,,,,,,
3.6,2.2.1,,2.2,,,,,,barley,Conservation agriculture technology|Information and communication technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,2.2.2,,2.2,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,2.2.3,,2.2,,,,,,barley,Tolerance of environmental pressure varieties,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,2.2.4,,2.2,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,2.2.5,,2.2,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,2.3.1,,2.3,,,,,,barley,Plant breeding technology|Information and communication technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Databases & Information systems,,,,,,,,,,,,,,,,,,,,,
3.6,2.3.2,,2.3,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.1.1,,3.1,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.1.2,,3.1,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.1.4,,3.1,,,,,,pearl millet,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.1.5,,3.1,,,,,,pearl millet,Plant breeding technology|Information and communication technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.1.6,,3.1,,,,,,pearl millet,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.1.7,,3.1,,,,,,pearl millet,Plant breeding technology|Seed technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.2.1,,3.2,,,,,,barley,Plant breeding technology|Seed technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant production & Protection ,,,,,,,,,,,,,,,,,,,,,
3.6,3.2.2,,3.2,,,,,,barley,Plant breeding technology|Seed technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.2.3,,3.2,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.2.4,,3.2,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.2.5,,3.2,,,,,,finger millet,Tolerance of environmental pressure varieties,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.2.6,,3.2,,,,,,sorghum,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.2.7,,3.2,,,,,,sorghum,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.2.8,,3.2,,,,,,sorghum,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.1,,3.3,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.10,,3.3,,,,,,pearl millet,Advanced locally adapted seed varieties,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.11,,3.3,,,,,,pearl millet,Advanced locally adapted seed varieties,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.12,,3.3,,,,,,barley,Advanced locally adapted seed varieties,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.13,,3.3,,,,,,barley,Advanced locally adapted seed varieties,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.14,,3.3,,,,,,barley,Advanced locally adapted seed varieties,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.2,,3.3,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.3,,3.3,,,,,,barley,Plant breeding technology|Advanced locally adapted seed varieties,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.4,,3.3,,,,,,barley,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.5,,3.3,,,,,,finger millet,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.6,,3.3,,,,,,finger millet,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
3.6,3.3.7,,3.3,,,,,,finger millet,Plant breeding technology,,,,,,https://www.cgiarfund.org/sites/cgiarfund.org/files/Documents/PDF/CRP3_6_Dryland_Cereals_proposal_15Aug2012.pdf,,"Cereal-root crop mixed, Maize mixed, Agro-pastoral millet/sorghum",Plant genetic resources & Breeding,,,,,,,,,,,,,,,,,,,,,
